payments,revenue,refund_amount,refund_ratio,pg_fee,contribution_before_variable_opex,within_72h_renewals,after_72h_renewals,main_expiries,sub_expiries,main_to_sub_conversions,renewal_rank_assessments,payback_qualifications,active_users_end,active_user_days,scenario
1438,41702000,1989400.0,0.047705146036161335,1559654.8,37822945.2,321,117,140,1298,59,20,136,0,37830.0,보수적
1430,41470000,1742900.0,0.04202797202797203,1550978.0,37846122.0,306,124,127,1303,64,16,119,0,37849.0,보수적
1448,41992000,2090900.0,0.04979281767955801,1570500.8,38000599.2,328,120,152,1296,77,17,143,0,38387.0,보수적
1463,42427000,2354800.0,0.05550239234449761,1586769.8,38155430.2,334,129,168,1295,77,18,160,0,38884.0,보수적
1398,40542000,1690700.0,0.04170243204577968,1516270.8,37005029.2,287,111,123,1275,53,8,116,0,36651.0,보수적
1438,41702000,1963300.0,0.04707927677329624,1559654.8,37849045.2,332,106,135,1303,57,13,133,0,37855.0,보수적
1395,40455000,1873400.0,0.046308243727598564,1513017.0,36738583.0,284,111,133,1262,52,19,128,0,36840.0,보수적
1441,41789000,2169200.0,0.051908396946564885,1562908.6,37726891.4,342,99,160,1281,71,13,149,0,38191.0,보수적
1502,43558000,2528800.0,0.058055925432756325,1629069.2000000002,39070130.8,369,133,180,1322,78,15,172,0,39776.0,보수적
1420,41180000,1945900.0,0.04725352112676056,1540132.0,37363968.0,308,112,140,1280,60,15,133,0,37357.0,보수적
1458,42282000,2030000.0,0.04801097393689986,1581346.8,38340653.2,342,116,142,1316,68,12,140,0,38547.0,보수적
1463,42427000,2163400.0,0.050991114149008886,1586769.8,38346830.2,349,114,158,1305,79,20,148,0,38627.0,보수적
1414,41006000,2021300.0,0.04929278642149929,1533624.4000000001,37121075.6,306,108,148,1266,68,17,137,0,37455.0,보수적
1464,42456000,2279400.0,0.05368852459016393,1587854.4000000001,38258745.6,337,127,166,1298,85,12,156,0,38690.0,보수적
1458,42282000,2209800.0,0.05226337448559671,1581346.8,38160853.2,318,140,156,1302,69,14,150,0,38623.0,보수적
1456,42224000,2293900.0,0.05432692307692308,1579177.6,38020922.4,325,131,166,1290,68,18,157,0,38695.0,보수적
1444,41876000,1899500.0,0.0453601108033241,1566162.4000000001,38080337.6,310,134,136,1308,59,16,131,0,38129.0,보수적
1466,42514000,1711000.0,0.04024556616643929,1590023.6,38882976.4,341,125,120,1346,48,9,118,0,38607.0,보수적
1473,42717000,2009700.0,0.04704684317718941,1597615.8,38779684.2,342,131,148,1325,68,11,138,0,39083.0,보수적
1433,41557000,1841500.0,0.04431263084438242,1554231.8,37831268.2,326,107,133,1300,63,15,124,0,37932.0,보수적
1478,42862000,2177900.0,0.05081190798376184,1603038.8,38751061.2,369,109,155,1323,67,14,149,0,39067.0,보수적
1464,42456000,2012600.0,0.047404371584699456,1587854.4000000001,38525545.6,351,113,147,1317,73,12,137,0,38503.0,보수적
1395,40455000,2227200.0,0.055053763440860215,1513017.0,36384783.0,304,91,157,1238,75,9,150,0,37010.0,보수적
1475,42775000,2041600.0,0.047728813559322035,1599785.0,38803615.0,341,134,144,1331,63,18,139,0,39054.0,보수적
1469,42601000,1792200.0,0.04206943498978897,1593277.4000000001,38885522.6,358,111,131,1338,63,5,123,0,38635.0,보수적
1487,43123000,2273600.0,0.0527236045729657,1612800.2000000002,38906599.8,342,145,163,1324,75,16,155,0,39174.0,보수적
1412,40948000,2462100.0,0.060127478753541075,1531455.2000000002,36624444.8,305,107,177,1235,73,12,168,0,37677.0,보수적
1455,42195000,2198200.0,0.052096219931271476,1578093.0,38088707.0,325,130,159,1296,69,24,151,0,38432.0,보수적
1493,43297000,2276500.0,0.052578700602813125,1619307.8,39071192.2,362,131,171,1322,88,20,157,0,39411.0,보수적
1435,41615000,2001000.0,0.04808362369337979,1556401.0,37727599.0,308,127,141,1294,64,16,135,0,37968.0,보수적
1412,40948000,2314200.0,0.05651558073654391,1531455.2000000002,36772344.8,297,115,161,1251,64,18,156,0,37502.0,보수적
1483,43007000,2088000.0,0.048550236008091704,1608461.8,38980538.2,345,138,149,1334,62,17,144,0,38987.0,보수적
1431,41499000,1925600.0,0.04640111809923131,1552062.6,37691337.4,306,125,136,1295,57,13,131,0,37836.0,보수적
1433,41557000,2082200.0,0.05010467550593161,1554231.8,37590568.2,309,124,151,1282,60,7,143,0,37623.0,보수적
1445,41905000,2473700.0,0.05903114186851211,1567247.0,37534053.0,332,113,179,1266,76,19,170,0,38370.0,보수적
1477,42833000,1821200.0,0.04251861882193636,1601954.2000000002,39079845.8,361,116,130,1347,67,13,125,0,38837.0,보수적
1457,42253000,2105400.0,0.04982841455044612,1580262.2000000002,38237337.8,339,118,152,1305,87,10,144,0,38511.0,보수적
1415,41035000,1856000.0,0.045229681978798585,1534709.0,37314291.0,294,121,134,1281,51,13,125,0,37421.0,보수적
1401,40629000,2082200.0,0.05124910778015703,1519524.6,36697275.4,293,108,151,1250,71,11,143,0,37003.0,보수적
1429,41441000,1998100.0,0.04821553533939818,1549893.4000000001,37563006.6,311,118,143,1286,69,15,136,0,37939.0,보수적
1450,42050000,1969100.0,0.04682758620689655,1572670.0,38178230.0,332,118,143,1307,59,12,134,0,38278.0,보수적
1458,42282000,1983600.0,0.04691358024691358,1581346.8,38387053.2,322,136,143,1315,68,17,135,0,38291.0,보수적
1443,41847000,2195300.0,0.05246015246015246,1565077.8,37756622.2,338,105,156,1287,66,18,149,0,37936.0,보수적
1412,40948000,1922700.0,0.04695467422096317,1531455.2000000002,37163844.8,312,100,140,1272,75,7,132,0,37508.0,보수적
1492,43268000,2047400.0,0.04731903485254692,1618223.2000000002,39272376.8,383,109,149,1343,80,14,140,0,39435.0,보수적
1440,41760000,2279400.0,0.05458333333333333,1561824.0,37588776.0,318,122,162,1278,71,21,156,0,37908.0,보수적
1449,42021000,2453400.0,0.058385093167701865,1571585.4000000001,37666014.6,329,120,175,1274,74,13,168,0,38643.0,보수적
1446,41934000,2134400.0,0.05089903181189488,1568331.6,37901268.4,336,110,150,1296,67,16,146,0,38374.0,보수적
1446,41934000,1792200.0,0.04273858921161826,1568331.6,38243468.4,312,134,126,1320,51,17,120,0,38005.0,보수적
1465,42485000,2349000.0,0.0552901023890785,1588939.0,38217061.0,348,117,170,1295,78,15,159,0,39048.0,보수적
1494,43326000,2003900.0,0.0462516733601071,1620392.4000000001,39371707.6,369,125,145,1349,68,15,137,0,39468.0,보수적
1456,42224000,1818300.0,0.04306318681318681,1579177.6,38496522.4,343,113,132,1324,56,10,123,0,38581.0,보수적
1445,41905000,2143100.0,0.05114186851211073,1567247.0,37864653.0,333,112,154,1291,62,14,146,0,38240.0,보수적
1493,43297000,2340300.0,0.05405224380442063,1619307.8,39007392.2,355,138,170,1323,83,21,159,0,39352.0,보수적
1434,41586000,1806700.0,0.04344490934449093,1555316.4000000001,37893983.6,300,134,130,1304,59,13,124,0,37922.0,보수적
1431,41499000,2009700.0,0.048427672955974846,1552062.6,37607237.4,303,128,141,1290,67,16,138,0,37856.0,보수적
