refund_ratio,recipient_ratio,zero_pass_ratio,average_attacks,average_expiry_day,refund_50_ratio,refund_80_ratio,refund_100_ratio
0.0496,0.098,0.854,4.532,26.459,0.096,0.002,0.0
0.048299999999999996,0.096,0.858,4.387,26.477,0.095,0.001,0.0
0.0493,0.098,0.855,4.417,26.525,0.097,0.001,0.0
0.0502,0.098,0.866,4.786,26.3,0.094,0.004,0.0
0.0503,0.1,0.856,4.49,26.396,0.099,0.001,0.0
0.0456,0.09,0.833,4.469,26.385,0.088,0.002,0.0
0.0535,0.107,0.852,4.632,26.389,0.107,0.0,0.0
0.051,0.099,0.839,4.71,26.289,0.094,0.005,0.0
0.0431,0.085,0.858,4.517,26.429,0.083,0.002,0.0
0.0485,0.097,0.86,4.546,26.37,0.097,0.0,0.0
0.052,0.104,0.854,4.422,26.44,0.104,0.0,0.0
0.0518,0.103,0.86,4.378,26.52,0.102,0.001,0.0
0.0515,0.103,0.847,4.517,26.411,0.103,0.0,0.0
0.0425,0.085,0.858,4.328,26.483,0.085,0.0,0.0
0.048600000000000004,0.096,0.835,4.674,26.362,0.094,0.002,0.0
0.048299999999999996,0.096,0.865,4.567,26.387,0.095,0.001,0.0
0.039,0.078,0.865,4.676,26.322,0.078,0.0,0.0
0.047900000000000005,0.094,0.852,4.384,26.477,0.091,0.003,0.0
0.0451,0.089,0.851,4.376,26.458,0.087,0.002,0.0
0.0503,0.1,0.861,4.473,26.414,0.099,0.001,0.0
0.0572,0.112,0.852,4.782,26.35,0.108,0.004,0.0
0.05,0.1,0.862,4.397,26.453,0.1,0.0,0.0
0.0466,0.092,0.854,4.729,26.312,0.09,0.002,0.0
0.0583,0.116,0.85,4.57,26.439,0.115,0.001,0.0
0.0441,0.087,0.862,4.434,26.464,0.085,0.002,0.0
0.0538,0.107,0.858,4.529,26.403,0.106,0.001,0.0
0.0516,0.102,0.839,4.717,26.323,0.1,0.002,0.0
0.048799999999999996,0.097,0.857,4.581,26.462,0.096,0.001,0.0
0.0453,0.09,0.843,4.501,26.367,0.089,0.001,0.0
0.0508,0.101,0.854,4.506,26.423,0.1,0.001,0.0
0.0531,0.105,0.848,4.515,26.385,0.103,0.002,0.0
0.047799999999999995,0.095,0.858,4.491,26.449,0.094,0.001,0.0
0.047799999999999995,0.095,0.868,4.446,26.399,0.094,0.001,0.0
0.0456,0.09,0.85,4.63,26.337,0.088,0.002,0.0
0.048,0.096,0.856,4.576,26.374,0.096,0.0,0.0
0.0455,0.091,0.856,4.597,26.397,0.091,0.0,0.0
0.0505,0.101,0.869,4.365,26.458,0.101,0.0,0.0
0.0508,0.101,0.857,4.324,26.533,0.1,0.001,0.0
0.045,0.09,0.86,4.489,26.44,0.09,0.0,0.0
0.0474,0.093,0.864,4.497,26.402,0.09,0.003,0.0
0.04,0.08,0.835,4.457,26.442,0.08,0.0,0.0
0.0531,0.105,0.854,4.489,26.4,0.103,0.002,0.0
0.054400000000000004,0.107,0.853,4.654,26.354,0.104,0.003,0.0
0.052,0.101,0.85,4.825,26.286,0.096,0.005,0.0
0.0418,0.083,0.85,4.355,26.423,0.082,0.001,0.0
0.0436,0.086,0.854,4.511,26.428,0.084,0.002,0.0
0.046299999999999994,0.092,0.849,4.359,26.464,0.091,0.001,0.0
0.04990000000000001,0.098,0.852,4.492,26.39,0.095,0.003,0.0
0.0423,0.084,0.866,4.473,26.426,0.083,0.001,0.0
0.0503,0.1,0.853,4.484,26.45,0.099,0.001,0.0
0.0521,0.103,0.859,4.457,26.418,0.101,0.002,0.0
0.0611,0.118,0.852,4.82,26.339,0.111,0.007,0.0
0.0516,0.102,0.857,4.569,26.403,0.1,0.002,0.0
0.047299999999999995,0.094,0.855,4.478,26.463,0.093,0.001,0.0
0.0461,0.091,0.843,4.565,26.363,0.089,0.002,0.0
0.0425,0.085,0.867,4.58,26.387,0.085,0.0,0.0
0.0546,0.108,0.858,4.577,26.408,0.106,0.002,0.0
0.055400000000000005,0.109,0.846,4.725,26.343,0.106,0.003,0.0
0.058,0.116,0.854,4.642,26.433,0.116,0.0,0.0
